mode,n_samples,z_seed,rep,n_questions,concept_accuracy
sample_y,1,30,4,30,0.8571428571428571
sample_y,1,31,0,22,1.0
sample_y,1,31,1,14,0.8571428571428571
sample_y,1,31,2,17,0.8571428571428571
sample_y,1,31,3,20,1.0
sample_y,1,31,4,22,1.0
sample_y,1,32,0,18,1.0
sample_y,1,32,1,17,1.0
sample_y,1,32,2,30,0.8571428571428571
sample_y,1,32,3,21,1.0
sample_y,1,32,4,27,1.0
sample_y,1,33,0,22,1.0
sample_y,1,33,1,29,1.0
sample_y,1,33,2,20,1.0
sample_y,1,33,3,27,1.0
sample_y,1,33,4,21,0.8571428571428571
sample_y,1,34,0,21,1.0
sample_y,1,34,1,19,1.0
sample_y,1,34,2,19,1.0
sample_y,1,34,3,25,1.0
sample_y,1,34,4,26,0.7142857142857143
sample_y,1,35,0,21,1.0
sample_y,1,35,1,17,1.0
sample_y,1,35,2,21,1.0
sample_y,1,35,3,20,1.0
sample_y,1,35,4,17,1.0
sample_y,1,36,0,22,1.0
sample_y,1,36,1,28,1.0
sample_y,1,36,2,23,1.0
sample_y,1,36,3,19,0.8571428571428571
sample_y,1,36,4,30,0.8571428571428571
sample_y,1,37,0,28,1.0
sample_y,1,37,1,27,0.7142857142857143
sample_y,1,37,2,21,1.0
sample_y,1,37,3,23,1.0
sample_y,1,37,4,26,0.8571428571428571
sample_y,1,38,0,25,0.7142857142857143
sample_y,1,38,1,18,1.0
sample_y,1,38,2,25,1.0
sample_y,1,38,3,28,1.0
sample_y,1,38,4,21,1.0
sample_y,1,39,0,18,0.8571428571428571
sample_y,1,39,1,29,0.8571428571428571
sample_y,1,39,2,27,0.8571428571428571
sample_y,1,39,3,22,0.8571428571428571
sample_y,1,39,4,24,1.0
sample_y,1,40,0,19,1.0
sample_y,1,40,1,17,1.0
sample_y,1,40,2,24,1.0
sample_y,1,40,3,25,1.0
sample_y,1,40,4,26,1.0
sample_y,1,41,0,20,1.0
sample_y,1,41,1,17,1.0
sample_y,1,41,2,28,0.7142857142857143
sample_y,1,41,3,19,1.0
sample_y,1,41,4,18,1.0
sample_y,1,42,0,19,1.0
sample_y,1,42,1,22,1.0
sample_y,1,42,2,29,0.8571428571428571
sample_y,1,42,3,25,0.8571428571428571
sample_y,1,42,4,18,1.0
sample_y,1,43,0,24,1.0
sample_y,1,43,1,24,1.0
sample_y,1,43,2,23,1.0
sample_y,1,43,3,21,1.0
sample_y,1,43,4,27,1.0
sample_y,1,44,0,21,1.0
sample_y,1,44,1,17,0.8571428571428571
sample_y,1,44,2,23,1.0
sample_y,1,44,3,29,0.8571428571428571
sample_y,1,44,4,20,1.0
sample_y,1,45,0,30,1.0
sample_y,1,45,1,16,1.0
sample_y,1,45,2,29,0.8571428571428571
sample_y,1,45,3,22,1.0
sample_y,1,45,4,30,0.8571428571428571
sample_y,1,46,0,20,1.0
sample_y,1,46,1,18,1.0
sample_y,1,46,2,26,1.0
sample_y,1,46,3,28,1.0
sample_y,1,46,4,27,1.0
sample_y,1,47,0,17,1.0
sample_y,1,47,1,30,0.8571428571428571
sample_y,1,47,2,22,1.0
sample_y,1,47,3,23,1.0
sample_y,1,47,4,27,0.8571428571428571
sample_y,1,48,0,25,1.0
sample_y,1,48,1,19,0.8571428571428571
sample_y,1,48,2,27,1.0
sample_y,1,48,3,27,1.0
sample_y,1,48,4,20,0.8571428571428571
sample_y,1,49,0,28,0.8571428571428571
sample_y,1,49,1,21,1.0
sample_y,1,49,2,19,1.0
sample_y,1,49,3,30,0.8571428571428571
sample_y,1,49,4,26,0.7142857142857143
sample_y,3,0,0,15,1.0
sample_y,3,0,1,18,0.7142857142857143
sample_y,3,0,2,14,1.0
sample_y,3,0,3,14,1.0
sample_y,3,0,4,12,1.0
sample_y,3,1,0,19,1.0
sample_y,3,1,1,16,1.0
sample_y,3,1,2,30,0.7142857142857143
sample_y,3,1,3,10,0.8571428571428571
sample_y,3,1,4,27,0.8571428571428571
sample_y,3,2,0,30,1.0
sample_y,3,2,1,23,0.8571428571428571
sample_y,3,2,2,12,1.0
sample_y,3,2,3,13,1.0
sample_y,3,2,4,13,1.0
sample_y,3,3,0,8,1.0
sample_y,3,3,1,8,1.0
sample_y,3,3,2,13,1.0
sample_y,3,3,3,9,1.0
sample_y,3,3,4,7,1.0
sample_y,3,4,0,13,1.0
sample_y,3,4,1,13,1.0
sample_y,3,4,2,12,1.0
sample_y,3,4,3,17,1.0
sample_y,3,4,4,13,1.0
sample_y,3,5,0,11,1.0
sample_y,3,5,1,29,1.0
sample_y,3,5,2,15,1.0
sample_y,3,5,3,20,0.8571428571428571
sample_y,3,5,4,29,1.0
sample_y,3,6,0,30,1.0
sample_y,3,6,1,25,0.8571428571428571
sample_y,3,6,2,24,1.0
sample_y,3,6,3,16,1.0
sample_y,3,6,4,20,0.8571428571428571
sample_y,3,7,0,25,0.8571428571428571
sample_y,3,7,1,24,1.0
sample_y,3,7,2,16,0.8571428571428571
sample_y,3,7,3,24,1.0
sample_y,3,7,4,16,1.0
sample_y,3,8,0,13,1.0
sample_y,3,8,1,23,0.8571428571428571
sample_y,3,8,2,13,1.0
sample_y,3,8,3,26,1.0
sample_y,3,8,4,27,1.0
sample_y,3,9,0,13,1.0
sample_y,3,9,1,21,1.0
sample_y,3,9,2,30,1.0
sample_y,3,9,3,12,1.0
sample_y,3,9,4,10,1.0
sample_y,3,10,0,26,1.0
sample_y,3,10,1,14,1.0
sample_y,3,10,2,24,0.8571428571428571
sample_y,3,10,3,17,1.0
sample_y,3,10,4,29,1.0
sample_y,3,11,0,11,1.0
sample_y,3,11,1,24,1.0
sample_y,3,11,2,14,1.0
sample_y,3,11,3,17,1.0
sample_y,3,11,4,12,1.0
sample_y,3,12,0,30,1.0
sample_y,3,12,1,17,1.0
sample_y,3,12,2,21,1.0
sample_y,3,12,3,18,1.0
sample_y,3,12,4,18,1.0
sample_y,3,13,0,29,0.8571428571428571
sample_y,3,13,1,12,1.0
sample_y,3,13,2,14,1.0
sample_y,3,13,3,28,1.0
sample_y,3,13,4,17,1.0
sample_y,3,14,0,30,0.8571428571428571
sample_y,3,14,1,16,1.0
sample_y,3,14,2,29,0.8571428571428571
sample_y,3,14,3,19,1.0
sample_y,3,14,4,30,0.8571428571428571
sample_y,3,15,0,27,1.0
sample_y,3,15,1,11,1.0
sample_y,3,15,2,19,1.0
sample_y,3,15,3,22,1.0
sample_y,3,15,4,18,1.0
sample_y,3,16,0,15,1.0
sample_y,3,16,1,20,1.0
sample_y,3,16,2,16,1.0
sample_y,3,16,3,25,0.8571428571428571
sample_y,3,16,4,20,1.0
sample_y,3,17,0,26,1.0
sample_y,3,17,1,30,1.0
sample_y,3,17,2,25,1.0
sample_y,3,17,3,16,1.0
sample_y,3,17,4,30,1.0
sample_y,3,18,0,30,0.8571428571428571
sample_y,3,18,1,21,1.0
sample_y,3,18,2,22,1.0
sample_y,3,18,3,30,1.0
sample_y,3,18,4,22,0.8571428571428571
sample_y,3,19,0,20,0.8571428571428571
sample_y,3,19,1,11,1.0
sample_y,3,19,2,27,1.0
sample_y,3,19,3,21,1.0
sample_y,3,19,4,14,1.0
sample_y,3,20,0,18,1.0
sample_y,3,20,1,15,0.8571428571428571
sample_y,3,20,2,11,1.0
sample_y,3,20,3,24,0.7142857142857143
sample_y,3,20,4,21,1.0
sample_y,3,21,0,15,1.0
sample_y,3,21,1,29,1.0
sample_y,3,21,2,26,1.0
sample_y,3,21,3,11,1.0
sample_y,3,21,4,20,1.0
sample_y,3,22,0,17,1.0
sample_y,3,22,1,30,1.0
sample_y,3,22,2,21,1.0
sample_y,3,22,3,18,0.8571428571428571
sample_y,3,22,4,19,1.0
sample_y,3,23,0,13,1.0
sample_y,3,23,1,15,1.0
sample_y,3,23,2,14,1.0
sample_y,3,23,3,19,1.0
sample_y,3,23,4,12,1.0
sample_y,3,24,0,16,1.0
sample_y,3,24,1,25,1.0
sample_y,3,24,2,15,1.0
sample_y,3,24,3,16,1.0
sample_y,3,24,4,15,1.0
sample_y,3,25,0,21,1.0
sample_y,3,25,1,28,1.0
sample_y,3,25,2,20,1.0
sample_y,3,25,3,20,1.0
sample_y,3,25,4,23,1.0
sample_y,3,26,0,30,0.7142857142857143
sample_y,3,26,1,20,1.0
sample_y,3,26,2,19,1.0
sample_y,3,26,3,19,1.0
sample_y,3,26,4,25,1.0
sample_y,3,27,0,17,1.0
sample_y,3,27,1,16,1.0
sample_y,3,27,2,24,1.0
sample_y,3,27,3,16,1.0
sample_y,3,27,4,16,0.8571428571428571
sample_y,3,28,0,23,1.0
sample_y,3,28,1,17,1.0
sample_y,3,28,2,23,1.0
sample_y,3,28,3,21,0.8571428571428571
sample_y,3,28,4,18,1.0
sample_y,3,29,0,27,0.8571428571428571
sample_y,3,29,1,28,0.8571428571428571
sample_y,3,29,2,21,1.0
sample_y,3,29,3,30,0.8571428571428571
sample_y,3,29,4,20,1.0
sample_y,3,30,0,28,1.0
sample_y,3,30,1,19,1.0
