group,z_true,n_questions,correct_diagnosis,hamming
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,18,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry|probability_statistics,14,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base,30,False,1
valide (z_true dans Z),algebra_linear,17,False,2
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,29,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,17,True,0
valide (z_true dans Z),arithmetic_base,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|probability_statistics,20,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry,15,True,0
valide (z_true dans Z),arithmetic_base|geometry|probability_statistics,14,True,0
valide (z_true dans Z),arithmetic_base|geometry|probability_statistics,23,False,1
valide (z_true dans Z),algebra_linear|analytic_geometry|probability_statistics,14,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios,17,False,2
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,23,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,30,False,3
valide (z_true dans Z),(vide),13,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|probability_statistics,10,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,20,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|probability_statistics,25,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,14,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,23,False,1
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,23,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,26,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,27,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base|probability_statistics,29,False,1
invalide (z_true hors Z),algebra_linear|fractions_ratios|geometry,24,False,2
invalide (z_true hors Z),algebra_advanced|arithmetic_base|fractions_ratios|probability_statistics,19,False,2
invalide (z_true hors Z),algebra_advanced|algebra_linear|analytic_geometry|fractions_ratios|geometry|probability_statistics,17,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|fractions_ratios|geometry,16,False,2
invalide (z_true hors Z),analytic_geometry|arithmetic_base|probability_statistics,24,False,1
invalide (z_true hors Z),algebra_advanced|arithmetic_base,21,False,2
invalide (z_true hors Z),algebra_advanced|probability_statistics,16,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base,28,False,1
invalide (z_true hors Z),analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,11,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base,19,False,1
invalide (z_true hors Z),algebra_linear|analytic_geometry|geometry|probability_statistics,17,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base,18,False,1
invalide (z_true hors Z),algebra_advanced|algebra_linear|analytic_geometry|fractions_ratios,16,False,1
invalide (z_true hors Z),analytic_geometry|geometry|probability_statistics,8,False,2
invalide (z_true hors Z),algebra_advanced|analytic_geometry|fractions_ratios|geometry|probability_statistics,19,False,2
invalide (z_true hors Z),algebra_advanced|arithmetic_base|fractions_ratios|probability_statistics,13,False,1
invalide (z_true hors Z),algebra_advanced|algebra_linear|analytic_geometry|fractions_ratios|probability_statistics,26,False,1
invalide (z_true hors Z),algebra_advanced|algebra_linear|analytic_geometry|geometry|probability_statistics,14,False,2
invalide (z_true hors Z),algebra_advanced|fractions_ratios|geometry|probability_statistics,13,False,3
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base|probability_statistics,29,False,2
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,19,False,1
invalide (z_true hors Z),algebra_advanced|algebra_linear|analytic_geometry|fractions_ratios|geometry|probability_statistics,14,False,1
invalide (z_true hors Z),analytic_geometry|arithmetic_base|fractions_ratios,17,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base|fractions_ratios,22,False,1
invalide (z_true hors Z),algebra_linear|geometry,16,False,1
invalide (z_true hors Z),fractions_ratios|geometry,23,False,1
invalide (z_true hors Z),algebra_advanced|algebra_linear|analytic_geometry|fractions_ratios,13,False,1
invalide (z_true hors Z),analytic_geometry,19,False,1
invalide (z_true hors Z),algebra_linear|fractions_ratios|geometry|probability_statistics,20,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|geometry|probability_statistics,19,False,2
invalide (z_true hors Z),algebra_advanced|analytic_geometry,14,False,1
invalide (z_true hors Z),algebra_advanced|algebra_linear|fractions_ratios|probability_statistics,26,False,2
invalide (z_true hors Z),algebra_advanced|analytic_geometry|fractions_ratios,12,False,2
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base|geometry|probability_statistics,19,False,1
invalide (z_true hors Z),algebra_advanced|algebra_linear|analytic_geometry|fractions_ratios|geometry,16,False,1
invalide (z_true hors Z),analytic_geometry|arithmetic_base|fractions_ratios|geometry,14,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base|fractions_ratios,27,False,2
invalide (z_true hors Z),algebra_linear|fractions_ratios|geometry|probability_statistics,29,False,1
invalide (z_true hors Z),analytic_geometry|arithmetic_base|fractions_ratios|geometry,16,False,1
invalide (z_true hors Z),algebra_advanced|fractions_ratios|geometry|probability_statistics,24,False,3
invalide (z_true hors Z),analytic_geometry|geometry,28,False,2
invalide (z_true hors Z),algebra_advanced|algebra_linear|analytic_geometry|geometry,15,False,1
invalide (z_true hors Z),analytic_geometry|geometry|probability_statistics,19,False,3
invalide (z_true hors Z),algebra_advanced|fractions_ratios|geometry|probability_statistics,14,False,2
invalide (z_true hors Z),algebra_advanced|analytic_geometry|probability_statistics,20,False,2
invalide (z_true hors Z),analytic_geometry|arithmetic_base|geometry,13,False,1
invalide (z_true hors Z),algebra_linear|fractions_ratios,18,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|probability_statistics,13,False,1
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,17,False,1
invalide (z_true hors Z),geometry,9,False,1
invalide (z_true hors Z),algebra_advanced|arithmetic_base|fractions_ratios|probability_statistics,13,False,1
invalide (z_true hors Z),analytic_geometry|fractions_ratios|probability_statistics,11,False,2
invalide (z_true hors Z),fractions_ratios,19,False,1
invalide (z_true hors Z),algebra_advanced|arithmetic_base|fractions_ratios|geometry,15,False,1
invalide (z_true hors Z),analytic_geometry|fractions_ratios|geometry|probability_statistics,14,False,2
invalide (z_true hors Z),algebra_advanced|analytic_geometry|fractions_ratios|geometry,15,False,3
invalide (z_true hors Z),algebra_advanced|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,26,False,3
invalide (z_true hors Z),analytic_geometry|geometry|probability_statistics,13,False,2
invalide (z_true hors Z),analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,13,False,1
