group,z_true,n_questions,correct_diagnosis,hamming
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios,18,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,18,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,19,True,0
valide (z_true dans Z),probability_statistics,15,False,2
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,17,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|probability_statistics,20,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry,20,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry|probability_statistics,11,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry,29,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base,19,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios,25,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,13,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,27,False,1
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,13,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry,12,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios,18,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,17,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|probability_statistics,13,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,10,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,21,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,22,True,0
valide (z_true dans Z),arithmetic_base,19,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear,11,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|probability_statistics,30,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,29,False,1
