policy,z_seed,question_index,longueur_arc_cumulee
adaptatif,10,19,12.637729
adaptatif,10,20,12.949067
adaptatif,11,0,0.000000
adaptatif,11,1,0.600697
adaptatif,11,2,1.390632
adaptatif,11,3,2.016379
adaptatif,11,4,2.631933
adaptatif,11,5,3.131060
adaptatif,11,6,3.959954
adaptatif,11,7,4.418597
adaptatif,11,8,4.857509
adaptatif,11,9,5.817220
adaptatif,11,10,6.533435
adaptatif,11,11,7.473148
adaptatif,11,12,8.246000
adaptatif,11,13,8.505180
adaptatif,11,14,8.758724
adaptatif,11,15,9.196728
adaptatif,11,16,9.801002
adaptatif,12,0,0.000000
adaptatif,12,1,0.870585
adaptatif,12,2,1.660520
adaptatif,12,3,2.286267
adaptatif,12,4,2.901821
adaptatif,12,5,3.400948
adaptatif,12,6,4.017887
adaptatif,12,7,4.984949
adaptatif,12,8,5.443592
adaptatif,12,9,6.108977
adaptatif,12,10,6.547889
adaptatif,12,11,6.947333
adaptatif,12,12,7.382441
adaptatif,12,13,7.883701
adaptatif,12,14,8.583741
adaptatif,12,15,9.357886
adaptatif,12,16,10.296989
adaptatif,12,17,10.829890
adaptatif,12,18,11.722686
adaptatif,12,19,12.333830
adaptatif,12,20,12.782339
adaptatif,12,21,13.019604
adaptatif,12,22,13.328038
adaptatif,12,23,13.636315
adaptatif,12,24,13.824267
adaptatif,13,0,0.000000
adaptatif,13,1,0.600697
adaptatif,13,2,1.390632
adaptatif,13,3,2.016379
adaptatif,13,4,2.849782
adaptatif,13,5,3.373678
adaptatif,13,6,4.337370
adaptatif,13,7,4.765576
adaptatif,13,8,5.373232
adaptatif,13,9,6.258362
adaptatif,13,10,7.143694
adaptatif,13,11,7.751444
adaptatif,13,12,8.192892
adaptatif,13,13,8.716614
adaptatif,13,14,9.452167
adaptatif,13,15,9.879326
adaptatif,13,16,10.130481
adaptatif,13,17,10.319566
adaptatif,14,0,0.000000
adaptatif,14,1,0.870585
adaptatif,14,2,1.660520
adaptatif,14,3,2.286267
adaptatif,14,4,3.119670
adaptatif,14,5,3.643566
adaptatif,14,6,4.142693
adaptatif,14,7,4.971586
adaptatif,14,8,5.361449
adaptatif,14,9,5.693231
adaptatif,14,10,6.128339
adaptatif,14,11,6.559490
adaptatif,14,12,7.061365
adaptatif,14,13,7.762365
adaptatif,14,14,8.184237
adaptatif,14,15,8.426400
adaptatif,14,16,8.734705
adaptatif,15,0,0.000000
adaptatif,15,1,0.600697
adaptatif,15,2,1.390632
adaptatif,15,3,2.180567
adaptatif,15,4,2.679694
adaptatif,15,5,3.296633
adaptatif,15,6,3.795760
adaptatif,15,7,4.624653
adaptatif,15,8,5.086769
adaptatif,15,9,5.514975
adaptatif,15,10,6.454687
adaptatif,15,11,7.227539
adaptatif,15,12,7.658892
adaptatif,15,13,7.938905
adaptatif,15,14,8.697672
adaptatif,15,15,9.235704
adaptatif,15,16,9.581834
adaptatif,15,17,9.931654
adaptatif,16,0,0.000000
adaptatif,16,1,0.870585
adaptatif,16,2,1.496332
adaptatif,16,3,2.111886
adaptatif,16,4,2.901821
adaptatif,16,5,3.400948
adaptatif,16,6,4.017887
adaptatif,16,7,4.984949
adaptatif,16,8,5.443592
adaptatif,16,9,6.066250
adaptatif,16,10,6.987711
adaptatif,16,11,7.426623
adaptatif,16,12,7.804140
adaptatif,16,13,8.379226
adaptatif,16,14,8.814335
adaptatif,16,15,9.241597
adaptatif,16,16,10.015742
adaptatif,16,17,10.563063
adaptatif,16,18,10.919172
adaptatif,16,19,11.687272
adaptatif,16,20,12.629162
adaptatif,16,21,13.168010
adaptatif,16,22,13.355962
adaptatif,16,23,13.543849
adaptatif,16,24,13.711656
adaptatif,16,25,13.940880
adaptatif,16,26,14.250519
adaptatif,16,27,14.351763
adaptatif,16,28,14.452588
adaptatif,16,29,14.569193
adaptatif,17,0,0.000000
adaptatif,17,1,0.870585
adaptatif,17,2,1.496332
adaptatif,17,3,2.111886
adaptatif,17,4,2.901821
adaptatif,17,5,3.400948
adaptatif,17,6,4.229842
adaptatif,17,7,5.196600
adaptatif,17,8,5.703665
adaptatif,17,9,6.403896
adaptatif,17,10,6.793759
adaptatif,17,11,7.129760
adaptatif,17,12,7.564869
adaptatif,17,13,8.066743
adaptatif,17,14,8.767743
adaptatif,17,15,9.189615
adaptatif,17,16,9.431778
adaptatif,17,17,9.740093
adaptatif,17,18,10.048398
adaptatif,18,0,0.000000
adaptatif,18,1,0.600697
adaptatif,18,2,1.390632
adaptatif,18,3,2.180567
adaptatif,18,4,2.679694
adaptatif,18,5,3.508587
adaptatif,18,6,4.007714
adaptatif,18,7,4.836607
adaptatif,18,8,5.264813
adaptatif,18,9,5.654676
adaptatif,18,10,6.044539
adaptatif,18,11,6.467186
adaptatif,18,12,6.889833
adaptatif,18,13,7.311131
adaptatif,18,14,7.732429
adaptatif,18,15,8.491196
adaptatif,18,16,9.029228
adaptatif,18,17,9.375359
adaptatif,18,18,9.622503
adaptatif,18,19,9.869648
adaptatif,19,0,0.000000
adaptatif,19,1,0.870585
adaptatif,19,2,1.660520
adaptatif,19,3,2.450455
adaptatif,19,4,2.949582
adaptatif,19,5,3.778475
adaptatif,19,6,4.277602
adaptatif,19,7,4.894541
adaptatif,19,8,5.356657
adaptatif,19,9,6.296369
